Aasta,Sugu,Maakond,Rahvused kokku,Eestlased,Muud rahvused,Venelased,Ukrainlased,Valgevenelased,Soomlased,Tatarlased,Lätlased,Poolakad,Juudid,Leedulased,Sakslased,Armeenlased,Aserbaidžaanid,Rahvus teadmata
2021,Mehed,Saare maakond,16315,15941,362,94,52,5,95,0,4,6,0,5,22,0,0,12
2021,Mehed,Tartu maakond,72603,61185,11311,7692,729,144,428,38,178,47,60,72,190,69,83,107
2021,Mehed,Valga maakond,13707,11070,2575,1607,226,67,47,6,373,11,8,12,30,6,2,62
2021,Mehed,Viljandi maakond,22276,21281,962,466,150,25,114,2,41,5,5,9,21,5,1,33
2021,Mehed,Võru maakond,17220,16362,832,563,72,15,30,0,45,6,4,2,13,3,1,26
2021,Mehed,Maakond teadmata,2361,343,380,167,67,7,32,1,27,3,5,7,5,0,1,1638
2021,Naised,Kogu Eesti,699153,480225,216880,176931,13094,6567,4177,1061,1654,974,888,1043,1196,703,529,2048
2021,Naised,Harju maakond,324521,197028,126251,101305,8610,4088,1772,713,771,594,762,689,627,523,418,1242
2021,Naised,Hiiu maakond,4578,4505,71,35,6,1,7,0,5,1,1,0,6,0,0,2
2021,Naised,Ida-Viru maakond,71128,11840,59259,53505,1851,1639,591,230,125,180,49,120,168,81,40,29
2021,Naised,Jõgeva maakond,14369,13050,1315,1060,98,31,54,8,12,2,0,8,7,2,1,4
2021,Naised,Järva maakond,15256,14471,780,394,164,21,96,1,15,10,1,6,11,3,6,5
2021,Naised,Lääne maakond,10541,9316,1201,886,117,52,44,13,12,4,2,11,7,0,0,24
2021,Naised,Lääne-Viru maakond,30009,26051,3945,2931,374,133,231,16,27,21,3,32,24,8,7,13
2021,Naised,Põlva maakond,12228,11646,580,424,63,8,24,5,9,2,1,3,7,0,1,2
2021,Naised,Pärnu maakond,45052,40390,4634,3222,531,134,226,26,107,32,13,38,71,16,3,28
2021,Naised,Rapla maakond,16629,15685,936,564,103,42,90,6,12,4,2,9,27,2,9,8
2021,Naised,Saare maakond,16717,16401,308,132,30,8,55,2,12,5,2,9,13,0,1,8
2021,Naised,Tartu maakond,81309,68794,12451,9084,696,243,704,24,151,84,48,69,171,51,43,64
2021,Naised,Valga maakond,14255,11379,2847,1943,230,104,39,7,315,10,0,19,24,10,0,29
